URL,Field1,Field2,Field4,Field5,Field6
"https://www.glassdoor.com/Overview/Working-at-Astek-EI_IE200717.11,16.htm",3.5 ★,Astek,"Information Technology Support Services
5K to 10K Employees","Headquarters near Paris, France",1K Reviews2K Salaries66 Jobs
"https://www.glassdoor.com/Overview/Working-at-Atos-EI_IE10686.11,15.htm",3.7 ★,Atos,"Information Technology Support Services
10K+ Employees","Headquarters near Bezons, France",12K Reviews18K Salaries2K Jobs
"https://www.glassdoor.com/Overview/Working-at-Auchan-Retail-EI_IE7427.11,24.htm",3.5 ★,Auchan Retail,"General Merchandise & Superstores
10K+ Employees","Headquarters near Croix, France",2K Reviews3K Salaries28 Jobs
"https://www.glassdoor.com/Overview/Working-at-Axionable-EI_IE1881643.11,20.htm",4.1 ★,Axionable,"Information Technology Support Services
1 to 50 Employees","Headquarters near Paris, France",15 Reviews24 Salaries0 Jobs
"https://www.glassdoor.com/Overview/Working-at-Axway-EI_IE309158.11,16.htm",3.6 ★,Axway,"Enterprise Software & Network Solutions
1K to 5K Employees","Headquarters near Scottsdale, AZ",534 Reviews869 Salaries37 Jobs
"https://www.glassdoor.com/Overview/Working-at-AZmed-EI_IE5451789.11,16.htm",5.0 ★,AZmed,1 to 50 Employees,"Headquarters near Paris, France",2 Reviews4 Salaries0 Jobs
"https://www.glassdoor.com/Overview/Working-at-BAO-EI_IE226259.11,14.htm",3.6 ★,BAO,"Information Technology Support Services
201 to 500 Employees","Headquarters near Chelmsford, MA",270 Reviews233 Salaries5 Jobs
"https://www.glassdoor.com/Overview/Working-at-Behive-EI_IE3065105.11,17.htm",3.8 ★,Behive,1 to 50 Employees,"Headquarters near Belo Horizonte, Brazil",0 Reviews3 Salaries0 Jobs
"https://www.glassdoor.com/Overview/Working-at-Besedo-EI_IE667813.11,17.htm",3.8 ★,Besedo,"Internet & Web Services
201 to 500 Employees","Headquarters near Stockholm, Sweden",125 Reviews76 Salaries24 Jobs
"https://www.glassdoor.com/Overview/Working-at-bsport-EI_IE5609600.11,17.htm",4.2 ★,bsport,"Enterprise Software & Network Solutions
51 to 200 Employees","Headquarters near Barcelona, France",25 Reviews39 Salaries0 Jobs
"https://www.glassdoor.com/Overview/Working-at-Everything-But-Water-EI_IE18095.11,31.htm",2.9 ★,Everything But Water,"Department, Clothing & Shoe Stores
201 to 500 Employees","Headquarters near Orlando, FL",234 Reviews313 Salaries42 Jobs
"https://www.glassdoor.com/Overview/Working-at-Back-Market-EI_IE1780208.11,22.htm",4.0 ★,Back Market,"Internet & Web Services
501 to 1K Employees","Headquarters near Paris, France",216 Reviews375 Salaries71 Jobs
"https://www.glassdoor.com/Overview/Working-at-Banque-de-France-EI_IE592376.11,27.htm",3.5 ★,Banque de France,"Investment & Asset Management
5K to 10K Employees","Headquarters near Paris, France",407 Reviews673 Salaries19 Jobs
"https://www.glassdoor.com/Overview/Working-at-BearingPoint-EI_IE11516.11,23.htm",4.0 ★,BearingPoint,"Business Consulting
1K to 5K Employees","Headquarters near Amsterdam, Netherlands",2K Reviews5K Salaries401 Jobs
"https://www.glassdoor.com/Overview/Working-at-Believe-EI_IE1127023.11,18.htm",3.7 ★,Believe,"Broadcast Media
1K to 5K Employees","Headquarters near Paris, France",241 Reviews357 Salaries84 Jobs
"https://www.glassdoor.com/Overview/Working-at-Bene-Bono-EI_IE8711030.11,20.htm",,Bene Bono,51 to 200 Employees,"Headquarters near Paris, France",0 Reviews2 Salaries8 Jobs
"https://www.glassdoor.com/Overview/Working-at-Betclic-Group-EI_IE3301897.11,24.htm",4.1 ★,Betclic Group,"Gambling
501 to 1K Employees","Headquarters near Bordeaux, France",65 Reviews144 Salaries49 Jobs
"https://www.glassdoor.com/Overview/Working-at-BforBank-EI_IE1127081.11,19.htm",3.5 ★,BforBank,"Banking & Lending
201 to 500 Employees","Headquarters near Courbevoie, France",55 Reviews93 Salaries2K Jobs
"https://www.glassdoor.com/Overview/Working-at-BioSerenity-EI_IE2864487.11,22.htm",3.8 ★,BioSerenity,51 to 200 Employees,"Headquarters near Auriol, France",53 Reviews113 Salaries29 Jobs
"https://www.glassdoor.com/Overview/Working-at-Bithive-Solu%C3%A7%C3%B5es-Inteligentes-EI_IE4702812.11,40.htm",,Bithive Soluções Inteligentes,1 to 50 Employees,"Headquarters near Belo Horizonte, Brazil",0 Reviews1 Salaries0 Jobs
"https://www.glassdoor.com/Overview/Working-at-BlaBlaCar-EI_IE840434.11,20.htm",4.6 ★,BlaBlaCar,"Internet & Web Services
501 to 1K Employees","Headquarters near Paris, France",421 Reviews743 Salaries25 Jobs
"https://www.glassdoor.com/Overview/Working-at-BlueLabs-EI_IE921811.11,19.htm",4.3 ★,BlueLabs,"Business Consulting
51 to 200 Employees","Headquarters near Washington, DC",25 Reviews68 Salaries7 Jobs
"https://www.glassdoor.com/Overview/Working-at-BlueNav-EI_IE8028185.11,18.htm",1.0 ★,BlueNav,,"Headquarters near Arcachon, France",1 Reviews2 Salaries6 Jobs
"https://www.glassdoor.com/Overview/Working-at-Bontaz-Centre-EI_IE1435883.11,24.htm",3.7 ★,Bontaz Centre,"Machinery Manufacturing
1K to 5K Employees","Headquarters near Marnaz, France",28 Reviews52 Salaries9 Jobs
"https://www.glassdoor.com/Overview/Working-at-Robert-Bosch-EI_IE3353.11,23.htm",4.3 ★,Robert Bosch,"Computer Hardware Development
10K+ Employees","Headquarters near Gerlingen, Germany",16K Reviews22K Salaries169 Jobs
"https://www.glassdoor.com/Overview/Working-at-Bouygues-Telecom-EI_IE453656.11,27.htm",3.9 ★,Bouygues Telecom,"Cable, Internet & Telephone Providers
10K+ Employees","Headquarters near Meudon, France",1K Reviews2K Salaries322 Jobs
"https://www.glassdoor.com/Overview/Working-at-Braintrust-EI_IE2603649.11,21.htm",4.4 ★,Braintrust,"Business Consulting
51 to 200 Employees","Headquarters near San Francisco, CA",32 Reviews31 Salaries222 Jobs
"https://www.glassdoor.com/Overview/Working-at-Business-At-Work-Paris-EI_IE1127388.11,33.htm",3.3 ★,Business At Work Paris,51 to 200 Employees,"Headquarters near Paris, France",26 Reviews38 Salaries0 Jobs
"https://www.glassdoor.com/Overview/Working-at-Caba%C3%AFa-EI_IE6492670.11,17.htm",4.7 ★,Cabaïa,"Beauty & Personal Accessories Stores
51 to 200 Employees","Headquarters near Paris, France",12 Reviews14 Salaries28 Jobs
"https://www.glassdoor.com/Overview/Working-at-Capco-EI_IE400565.11,16.htm",3.8 ★,Capco,"Business Consulting
5K to 10K Employees","Headquarters near London, United Kingdom",3K Reviews5K Salaries554 Jobs
"https://www.glassdoor.com/Overview/Working-at-Causeway-Technologies-EI_IE30143.11,32.htm",3.9 ★,Causeway Technologies,"Information Technology Support Services
201 to 500 Employees","Headquarters near Gerrards Cross, United Kingdom",111 Reviews157 Salaries19 Jobs
"https://www.glassdoor.com/Overview/Working-at-CGI-EI_IE8452.11,14.htm",3.9 ★,CGI,"Business Consulting
10K+ Employees","Headquarters near Fairfax, VA",17K Reviews33K Salaries3K Jobs
"https://www.glassdoor.com/Overview/Working-at-CHEOPS-TECHNOLOGY-EI_IE1128118.11,28.htm",4.2 ★,CHEOPS TECHNOLOGY,"Information Technology Support Services
201 to 500 Employees","Headquarters near Canéjan, France",54 Reviews139 Salaries42 Jobs
"https://www.glassdoor.com/Overview/Working-at-Collecte-Localisation-Satellites-EI_IE1058172.11,43.htm",3.0 ★,Collecte Localisation Satellites,501 to 1K Employees,"Headquarters near Ramonville-Saint-Agne, France",27 Reviews46 Salaries0 Jobs
"https://www.glassdoor.com/Overview/Working-at-Cocolis-EI_IE5101754.11,18.htm",5.0 ★,Cocolis,1 to 50 Employees,"Headquarters near Paris, France",1 Reviews7 Salaries0 Jobs
"https://www.glassdoor.com/Overview/Working-at-Corus-Consulting-EI_IE3180586.11,27.htm",4.4 ★,Corus Consulting,51 to 200 Employees,"Headquarters near Madrid, Spain",28 Reviews38 Salaries3 Jobs
"https://www.glassdoor.com/Overview/Working-at-Carsat-de-Normandie-EI_IE846368.11,30.htm",4.2 ★,Carsat de Normandie,"Insurance Agencies & Brokerages
501 to 1K Employees","Headquarters near Rouen, France",4 Reviews17 Salaries9 Jobs
"https://www.glassdoor.com/Overview/Working-at-Canonical-EI_IE230560.11,20.htm",3.4 ★,Canonical,"Computer Hardware Development
501 to 1K Employees","Headquarters near London, United Kingdom",337 Reviews521 Salaries179 Jobs
"https://www.glassdoor.com/Overview/Working-at-Canopee-Group-EI_IE4557702.11,24.htm",4.1 ★,Canopee Group,51 to 200 Employees,"Headquarters near Paris, France",3 Reviews2 Salaries0 Jobs
"https://www.glassdoor.com/Overview/Working-at-Capgemini-EI_IE3803.11,20.htm",3.7 ★,Capgemini,"Enterprise Software & Network Solutions
10K+ Employees","Headquarters near Issy-les-Moulineaux, France",72K Reviews99K Salaries9K Jobs
